Citi;5;2
Caterpillar;5;2
Allianz;1;2
Visa;2;4
Tesla;5;5
Volkswagen;5;4
Smirnoff;5;2
AXA;5;4
IBM;4;4
NESCAFÉ;2;2
Lenovo;3;5
Zara;3;5
Heineken;3;2
LEGO;5;3
American Express;3;4
Intel;4;2
Pepsi;5;3
Jack Daniels;5;3
Samsung;4;5
Cartier;1;2
Hyundai;5;4
H&M;3;5
SAP;3;5
Nissan;3;5
Burberry;5;3
Amazon;3;2
Louis Vuitton;1;5
BMW;2;3
Audi;5;2
Cisco;4;3
Facebook;3;4
MTV;4;5
Ralph Lauren;3;4
Honda;1;3
MINI;4;2
Pampers;2;2
Morgan Stanley;5;2
Huawei;1;5
Sony;2;5
Gillette;4;2
LOreal;5;5
Siemens;2;4
Corona;4;3
eBay;1;2
HP;1;3
Porsche;2;3
Santander;1;2
Coca-Cola;5;2
John Deere;4;2
Nestlé;1;5
